review_id,course_id,professor,review_text,rating,date,review_year,is_recent,evidence_weight,source,project_heavy,exam_heavy,homework_heavy,time_consuming,self_learning_required,harsh_grading,disorganized_course,evidence_excerpt,confidence,notes,relevant_to_workload_or_risk,audit_status,audited_by,audit_notes
CMSC351_353,CMSC351,Ting Jiang,"The worst professor i've ever had. This is the only time I have left a review and it's to tell you not to take her, her exams are unreasonably hard and barely reflect the material for 30% of the questions. The average on the exams is a C and she does not curve. If you miss class her notes are useless, and the homework's are grades very harshly. I am getting an B+ but this is still the worst teacher ever. The basics of this class shouldn't even be that hard looking back but she teaches and tests in such a way that it is nearly impossible to get a good grade.",1,2025-12-17T21:18:50.202668Z,2025,1,1.0,PlanetTerp,0,1,0,0,0,1,0,,high,"Exams are described as unreasonably hard, and homework grading is described as harsh.",1,,,
CMSC216_448,CMSC216,Christopher Kauffman,"Great professor who cares about his students' learning. Great class structure with lots of flexibility, difficult but rewarding projects, and easy but not free exams. You get what you put into this class.",5,2025-05-29T17:25:20.411148Z,2025,1,1.0,PlanetTerp,1,0,0,0,0,0,0,,high,"Projects are described as difficult, while exams are described as manageable.",1,,,
CMSC216_470,CMSC216,Christopher Kauffman,"All of the projects, homeworks, labs are very useful and relevant for the exams. Nothing in this class is that difficult, but make sure to start on all projects as soon as possible. Kauffman is always heavy on catching cheating on the projects; just give them your best honest attempt and I promise you'll be fine. His slides are very wordy and often contain a lot of useless information, and you're meant to rely more on your own work for the exams (they are open resource). Kauffman is by far the best choice for 216 right now and it's not really close.",5,2025-12-28T18:13:19.540971Z,2025,1,1.0,PlanetTerp,1,0,0,1,0,0,0,,high,Students are advised to start projects as soon as possible.,1,,,
CMSC351_327,CMSC351,Justin Wyss-Gallifent,My role model. Explains difficult concepts super well and an overall amazing person. Lectures were organized and notes were posted within minutes after. Could not recommend Justin more if you have the opportunity to take him.,5,2025-05-22T00:53:44.706808Z,2025,1,1.0,PlanetTerp,0,0,0,0,0,0,0,,medium,The review provides positive evidence that lectures and notes are organized.,1,,,
CMSC250_506,CMSC250,Maksym Morawski,"CMSC250 is meant to be your introduction to proofs and mathematical rigor in Computer Science and I did not get that at all from this class. Lecture was relatively easy to follow and he was an engaging lecturer. However, he hand-waved a lot of things that I felt shouldn't have been handwaved. For example, we never really did structural induction like Fawzi's class did, instead he just kind of gave an outline of what it would look like. He is also a bit disorganized and him and his TAs were all five minutes late to one of our exams. There was a proof on our first exam that was unlike anything we had done up to that point which was rather annoying. Overall his class was fine, but I would recommend taking a different professor for 250 if Maksym is one of the options. His class may be easier to get a higher grade in, but it will come back to bite you when you have to write proofs for other classes in the future.",3,2025-10-20T16:36:33.342207Z,2025,1,1.0,PlanetTerp,0,0,0,0,0,0,1,,high,"The course is described as disorganized, and an exam included unfamiliar material.",1,,,
CMSC250_514,CMSC250,Mohammad Nayeem Teli,"teli is a pretty decent professor. 3 exams (2 midterms and 1 final). lecturing is alright, but overall lectures are pretty boring and hard to get through. quizzes are free grades and homeworks + exams are graded pretty strictly by TA's. shoutout to Shashaank who was genuinely the best TA ive ever had and probably will ever have. discussion is really what made this class for me and without it I probably would have done much worse with just Teli's lecturing. overall he's okay but you are probably better off with Fawzi.",3,2025-12-21T01:23:38.606101Z,2025,1,1.0,PlanetTerp,0,1,0,0,0,1,0,,high,"The course has three exams, and homework and exams are graded strictly.",1,,,
CMSC250_519,CMSC250,Fawzi Emad,"Fall 2025 Pros: - Very funny and engaging guy. Seems like a cool guy to just hang out with - Explanations are very clear - Expectations for proof formats are very clear. He makes it very clear what you will need to do to get all the points on proofs - Homeworks are not graded, and keys are posted, giving you more flexibility - If you do all the homeworks and discussion worksheets, you will be fine. No outside practice needed. Cons: - Grading is potentially challenging: 80% exams, 20% quizzes - Weekly scheduled/announced (not pop) quizzes in discussion, but all of them are fair and reflect what is on the homework (either the most recent one, or the second to most recent one) Other: - Lectures are not recorded, as Fawzi expects everyone to come to class. But of all the lecturers I’ve had at UMD, Fawzi has the most valuable lectures, so I wouldn’t skip. Grade Statistics Exam 1: Median: 88% Exam 2: Median: 87% Exam 3: Median: 78% Final: Median: 76% Median course grade: 82% (~35% of people get A’s) Overall definitely take Fawzi. He teaches very well, makes it easy to do well, and is a chill/funny guy.",5,2025-12-25T11:36:55.884257Z,2025,1,1.0,PlanetTerp,0,1,0,0,0,0,0,,high,Exams and weekly quizzes determine the full course grade.,1,,,
CMSC216_441,CMSC216,Larry Herman,Actually the worst professor ever. Teaches useless shit during lecture and repeats the same useless information over and over again. Forced us to learn assembly and other important concepts on our own. Exams are nothing like the practice. Averages on both midterms were 65 but blames the class instead when it says more about him. It’s been a week since the final and I still don’t know if I’ll pass the class or if he will curve like he said he would. What professor forces students to learn the main topics of the class on their own?,1,2025-05-23T20:40:47.451088Z,2025,1,1.0,PlanetTerp,0,1,0,0,1,0,1,,high,"Students reportedly teach themselves major topics, exams differ from practice, and grading information is delayed.",1,,,
CMSC351_328,CMSC351,Justin Wyss-Gallifent,"Yeah he's a good lecturer and well organized and you'll learn a lot in this class. And I'm not gonna dismiss what other reviews have said about him. But... He can be very cold when it comes to grading. 76% of the class grade relies on exams, for which 3 of them are 50 minute exams. Justin I want you to understand something. Someone can understand a topic very well and could even iterate the ins and outs of it back to you within demand. However, working within a time constraint can usually add a level of stress to students which can cause (especially in a computation heavy course) minor mathematical errors to happen. I have made these mistakes countless times and you still somehow believe that I'm just fighting for points just because. People's livelihoods depend on a single letter you enter at the end of the semester. So not being considerate or telling people ""its graded according to the rubric"" is just very invalidating of some people's honest hard work. But you do you for sure! But yeah to people looking to take him he's the best option for this course regardless. He will make sure to teach what you need to know, and the rest is up to you.",5,2025-05-22T14:48:59.150501Z,2025,1,1.0,PlanetTerp,0,1,0,0,0,1,0,,high,"Exams account for 76 percent of the grade, and grading is described as inflexible.",1,,,
CMSC216_450,CMSC216,Christopher Kauffman,"One of the best professors I have ever had. I think he truly structures his course through a student's perspective. The fact that he records his lectures and lab walkthroughs really allowed me to fully understand the course concepts. I feel like he gave adequate practice materials for exams and although they were REALLY long, his projects were one of the biggest reasons I did well in this course. His long and intensive projects covered basically everything that we would need to know for the course and doing the projects helped me not only understand the topics conceptually but also in practice. My advice to future students would be to really understand the projects because thats usually what the coding question for exams will be based off of.",5,2025-06-02T18:21:22.219721Z,2025,1,1.0,PlanetTerp,1,0,0,1,0,0,0,,high,Projects are explicitly described as long and intensive.,1,,,
